activity,activityuom,customershipto,customerpersonnum,productsalesusenum,Request_ID,Sequence
10,2,2100001471,3000068291,487,6000340001,1
10,2,2100001471,3000068291,487,6000340002,1
33,2,2100001471,810005639,487,6000340003,1
8,2,2100001471,810005639,487,6000340004,1
5.4,2,2100001471,340002460,14843,6000340005,1
8,2,2100001471,1000001980,3035,6000340006,1
33,2,2100001471,3000110106,483,6000340007,1
8,2,2100001471,810005639,487,6000340008,1
31,2,2100001471,810005639,487,6000340009,1
30,2,2100001471,140000822,522,6000340010,1
10,2,2100001471,140000822,4176,6000340011,1
45,2,2100001471,3000044253,3035,6000340012,1
10,2,2100001471,1000001980,398,6000340013,1
30,2,2100001471,1000001980,482,6000340014,1
14,2,2100001471,3000044253,3035,6000340015,1
15,2,2100001471,3000044253,3035,6000340016,1
43,2,2100001471,3000044253,483,6000340017,1
45,2,2100001471,3000044253,483,6000340018,1
35,2,2100001471,1000001980,483,6000340019,1
6,2,2100001471,1000001980,391,6000340020,1
8,2,2100001471,1000001980,3035,6000340021,1
35,2,2100001471,1000001980,483,6000340022,1
44,2,2100001471,3000044253,483,6000340023,1
33,2,2100001471,3000044253,483,6000340024,1
35,2,2100001471,1000001980,483,6000340025,1
6,2,2100001471,1000001980,391,6000340026,1
25,2,2100001471,1000001980,387,6000340027,1
15,2,2100001471,3000044253,3035,6000340028,1
45,2,2100001471,3000044253,483,6000340029,1
10,2,2100001471,3000044253,3035,6000340030,1
14,2,2100001471,3000044253,3035,6000340031,1
8,2,2100001471,1000001980,3035,6000340032,1
35,2,2100001471,1000001980,483,6000340033,1
8,2,2100001471,1000001980,3035,6000340034,1
35,2,2100001471,1000001980,483,6000340035,1
12,2,2100001471,3000044253,3035,6000340036,1
36,2,2100001471,3000044253,483,6000340037,1
6,2,2100001471,1000001980,391,6000340038,1
20,2,2100001471,1480001868,387,6000340039,1
20,2,2100001471,3000012252,349,6000340040,1
0.45,2,2100001471,3000012252,2635,6000340041,1
1,2,2100001471,3000012252,468,6000340042,1
30,2,2100001471,1000001980,482,6000340043,1
35,2,2100001471,1000001980,483,6000340044,1
20,2,2100001471,3000012252,349,6000340045,1
30,2,2100001471,3000044253,483,6000340046,1
2,2,2100001471,3000012252,2635,6000340047,1
10,2,2100001471,3000012252,398,6000340048,1
5,2,2100001471,3000012252,378,6000340049,1
1,2,2100001471,3000012252,468,6000340050,1
5,2,2100001471,3000012252,378,6000340051,1
30,2,2100001471,3000012252,430,6000340052,1
11,2,2100001471,3000044253,3035,6000340053,1
8,2,2100001471,1000001980,3035,6000340054,1
8,2,2100001471,3000074620,482,6000340055,1
24,2,2100001471,3000074620,482,6000340056,1
1.2,2,2100001471,3000042257,2634,6000340057,1
5.4,2,2100001471,340002461,14843,6000340058,1
10,2,2100001471,1000003052,4176,6000340059,1
30,2,2100001471,1000003052,522,6000340060,1
10,2,2100001471,1000003052,4176,6000340061,1
30,2,2100001471,1000003052,522,6000340062,1
10,2,2100001471,1000003052,4176,6000340063,1
10,2,2100001471,1000003052,4176,6000340064,1
30,2,2100001471,1000003052,522,6000340065,1
10,2,2100001471,1000003052,4176,6000340066,1
30,2,2100001471,1000003052,522,6000340067,1
30,2,2100001471,1000003052,522,6000340068,1
32,2,2100001471,1000003365,522,6000340069,1
28,2,2100001471,1000003365,522,6000340070,1
32,2,2100001471,1000003365,522,6000340071,1
9,2,2100001471,1000003365,4176,6000340072,1
8,2,2100001471,1000003365,4176,6000340073,1
7,2,2100001471,1000003365,4176,6000340074,1
8,2,2100001471,1000003365,4176,6000340075,1
36,2,2100001471,1000003365,522,6000340076,1
32,2,2100001471,1000003365,522,6000340077,1
7,2,2100001471,1000003365,4176,6000340078,1
28,2,2100001471,1000003365,522,6000340079,1
8,2,2100001471,1000003365,4176,6000340080,1
36,2,2100001471,1000003365,522,6000340081,1
9,2,2100001471,1000003365,4176,6000340082,1
8,2,2100001471,1000003365,4176,6000340083,1
7,2,2100001471,1000003365,4176,6000340084,1
32,2,2100001471,1000003365,522,6000340085,1
28,2,2100001471,1000003365,522,6000340086,1
32,2,2100001471,1000003365,522,6000340087,1
7,2,2100001471,1000003365,4176,6000340088,1
8,2,2100001471,1000003365,4176,6000340089,1
8,2,2100001471,1000003365,4176,6000340090,1
9,2,2100001471,1000003365,4176,6000340091,1
36,2,2100001471,1000003365,522,6000340092,1
28,2,2100001471,1000003365,522,6000340093,1
32,2,2100001471,1000003365,522,6000340094,1
30,2,2100001471,2010001745,521,6000340095,1
10,2,2100001471,2010001745,521,6000340096,1
30,2,2100001471,2010001745,521,6000340097,1
10,2,2100001471,2010001745,521,6000340098,1
30,2,2100001471,2010001745,15185,6000340099,1
25,2,2100001471,3000042257,488,6000340100,1
10,2,2100001471,1000002801,487,6000340101,1
10,2,2100001471,1000002801,487,6000340102,1
10,2,2100001471,1000002801,487,6000340103,1
10,2,2100001471,1000002801,487,6000340104,1
30,2,2100001471,1000002801,487,6000340105,1
30,2,2100001471,1000002801,487,6000340106,1
10,2,2100001471,1000002801,487,6000340107,1
30,2,2100001471,1000002801,487,6000340108,1
20,2,2100001471,1000002801,487,6000340109,1
30,2,2100001471,1000002801,487,6000340110,1
22,2,2100001471,1000002801,487,6000340111,1
20,2,2100001471,1000002801,487,6000340112,1
30,2,2100001471,1000002801,487,6000340113,1
20,2,2100001471,830001021,487,6000340114,1
10,2,2100001471,3000046615,3035,6000340115,1
10,2,2100001471,3000046615,3035,6000340116,1
10,2,2100001471,3000046615,3035,6000340117,1
10,2,2100001471,3000046615,3035,6000340118,1
10,2,2100001471,3000046615,3035,6000340119,1
10,2,2100001471,3000046615,3035,6000340120,1
10,2,2100001471,3000046615,3035,6000340121,1
30,2,2100001471,3000046615,483,6000340122,1
10,2,2100001471,3000046615,3035,6000340123,1
30,2,2100001471,3000046615,483,6000340124,1
30,2,2100001471,3000046615,483,6000340125,1
30,2,2100001471,3000046615,483,6000340126,1
30,2,2100001471,3000046615,483,6000340127,1
30,2,2100001471,3000046615,483,6000340128,1
30,2,2100001471,3000046615,483,6000340129,1
30,2,2100001471,3000046615,483,6000340130,1
26,2,2100001471,3000085007,526,6000340131,1
8,2,2100001471,3000085007,526,6000340132,1
30,2,2100001471,360000446,522,6000340133,1
5.4,2,2100001471,940001386,14843,6000340134,1
24,2,2100001471,960000854,521,6000340135,1
8,2,2100001471,960000854,521,6000340136,1
